elapsed_s,board_uptime_s,decoded_frames,reconnects,read_errors,control_errors,captured,processed,encoded,rss_mb,fd_count,capture_fps,process_fps,encode_fps,inference_dropped,video_dropped,driver_sequence_gaps,inference_health,recording_state
1169.1719999999914,1182.39238677,23212,3,0,0,23638,17055,23637,57.984375,46,19.8350855262205,14.16791823301464,19.8350855262205,6581,0,4,normal,completed
1174.1879999999946,1186.583442184,23313,3,0,0,23722,17114,23721,57.984375,46,20.246430430667232,14.461736021905166,20.246430430667232,6606,0,4,normal,completed
1179.2030000000086,1191.795839638,23413,3,0,0,23826,17187,23825,57.984375,46,20.033550724884474,13.68144927553086,19.544927536472656,6637,0,4,normal,completed
1184.2189999999828,1197.087352916,23513,3,0,0,23932,17262,23931,57.984375,46,20.257872745459018,12.54058789004606,20.257872745459018,6667,0,4,normal,completed
1189.25,1202.368876744,23614,3,0,0,24037,17338,24037,57.984375,46,19.219357460075038,14.414518095056279,20.18032533307879,6698,0,4,normal,completed
1194.2660000000033,1206.599627041,23714,3,0,0,24122,17399,24122,57.984375,46,19.751030491910804,14.107878922793432,20.691555753430368,6721,0,4,normal,completed
1199.2969999999914,1211.817565284,23815,3,0,0,24226,17479,24226,57.984375,46,19.4011788885777,16.491002055291048,19.4011788885777,6746,0,4,normal,completed
1204.3129999999946,1217.106417039,23888,4,0,0,24332,17558,24332,58.046875,46,19.98791475469214,14.277081967637244,19.98791475469214,6772,0,4,normal,completed
1209.3280000000086,1222.391949466,23988,4,0,0,24438,17633,24437,58.046875,46,20.469858583572577,13.956721761526758,19.53941046613746,6803,0,4,normal,completed
1214.3439999999828,1227.665254885,24089,4,0,0,24543,17708,24543,58.046875,46,19.93873498673944,13.957114490717608,19.93873498673944,6833,0,4,normal,completed
1219.3589999999967,1231.895191031,24189,4,0,0,24628,17768,24628,58.046875,46,20.12747706931409,14.376769335224349,20.12747706931409,6858,0,4,normal,completed
1224.375,1237.147109675,24290,4,0,0,24733,17842,24732,58.046875,46,20.01568785770399,14.296919898359993,19.06255986447999,6889,0,4,normal,completed
